Date,Time ,X,Y,Z
2023-02-25 18:54:41.761,"Time: 70 ms, ",17.59,-98.12,-12.52
2023-02-25 18:54:41.831,"Time: 71 ms, ",19.71,-98.34,-14.7
2023-02-25 18:54:41.902,"Time: 71 ms, ",17.72,-102.72,-9.95
2023-02-25 18:54:41.972,"Time: 70 ms, ",21.08,-99.24,-13.24
2023-02-25 18:54:42.043,"Time: 71 ms, ",18.21,-99.27,-11.91
2023-02-25 18:54:42.114,"Time: 71 ms, ",17.35,-98.5,-12.71
2023-02-25 18:54:42.184,"Time: 70 ms, ",16.93,-101.66,-9.7
2023-02-25 18:54:42.255,"Time: 71 ms, ",19.37,-101.11,-9.41
2023-02-25 18:54:42.326,"Time: 71 ms, ",16.69,-99.11,-12.94
2023-02-25 18:54:42.396,"Time: 71 ms, ",15.99,-98.1,-12.29
2023-02-25 18:54:42.467,"Time: 70 ms, ",17.22,-99.74,-12.12
2023-02-25 18:54:42.538,"Time: 71 ms, ",17.37,-101.12,-9.96
2023-02-25 18:54:42.609,"Time: 71 ms, ",17,-100.96,-9.01
2023-02-25 18:54:42.679,"Time: 70 ms, ",19.48,-99.95,-12.48
2023-02-25 18:54:42.750,"Time: 71 ms, ",17.91,-100.07,-13.46
2023-02-25 18:54:42.821,"Time: 71 ms, ",17.61,-100.06,-11.29
2023-02-25 18:54:42.891,"Time: 70 ms, ",18.59,-100.2,-12.63
2023-02-25 18:54:42.962,"Time: 71 ms, ",17.11,-102.75,-7.25
2023-02-25 18:54:43.033,"Time: 71 ms, ",17.83,-100.81,-11.22
2023-02-25 18:54:43.103,"Time: 71 ms, ",16.87,-100.6,-16.36
2023-02-25 18:54:43.174,"Time: 70 ms, ",18.64,-99.57,-13.26
2023-02-25 18:54:43.245,"Time: 71 ms, ",17.91,-101.22,-9.53
2023-02-25 18:54:43.315,"Time: 71 ms, ",20.09,-99.74,-10.74
2023-02-25 18:54:43.387,"Time: 71 ms, ",18.75,-100.99,-13.53
2023-02-25 18:54:43.457,"Time: 70 ms, ",15.41,-98.77,-14.67
2023-02-25 18:54:43.528,"Time: 71 ms, ",20.74,-99.04,-16.31
2023-02-25 18:54:43.599,"Time: 71 ms, ",18.32,-97.99,-8.47
2023-02-25 18:54:43.669,"Time: 70 ms, ",16.33,-101.29,-11.39
2023-02-25 18:54:43.740,"Time: 71 ms, ",18.26,-98.66,-13.56
2023-02-25 18:54:43.811,"Time: 71 ms, ",18.05,-97.5,-13.1
2023-02-25 18:54:43.881,"Time: 71 ms, ",17.5,-98.73,-11.67
2023-02-25 18:54:43.952,"Time: 70 ms, ",18.02,-99.44,-15.16
2023-02-25 18:54:44.023,"Time: 71 ms, ",18.2,-100.68,-13.95
2023-02-25 18:54:44.094,"Time: 71 ms, ",17.92,-100.23,-13.26
2023-02-25 18:54:44.164,"Time: 71 ms, ",17.41,-100.01,-10.6
2023-02-25 18:54:44.235,"Time: 70 ms, ",17.13,-97.23,-12.6
2023-02-25 18:54:44.306,"Time: 71 ms, ",18.07,-101.65,-11.11
2023-02-25 18:54:44.376,"Time: 71 ms, ",18.1,-98.54,-10.12
2023-02-25 18:54:44.447,"Time: 71 ms, ",17.48,-102.91,-12.92
2023-02-25 18:54:44.518,"Time: 70 ms, ",18.29,-99.22,-12.57
2023-02-25 18:54:44.589,"Time: 71 ms, ",17.41,-102.29,-12.99
2023-02-25 18:54:44.659,"Time: 71 ms, ",17.63,-104.06,-13.17
2023-02-25 18:54:44.730,"Time: 70 ms, ",17.31,-99.65,-12.59
2023-02-25 18:54:44.801,"Time: 71 ms, ",17.79,-99.96,-12.05
2023-02-25 18:54:44.872,"Time: 71 ms, ",16.86,-97.8,-12.33
2023-02-25 18:54:44.942,"Time: 71 ms, ",18.25,-101.48,-12.98
2023-02-25 18:54:45.013,"Time: 70 ms, ",17.38,-100.11,-11.47
2023-02-25 18:54:45.084,"Time: 71 ms, ",18.86,-99.87,-10.41
2023-02-25 18:54:45.154,"Time: 71 ms, ",17.71,-98.78,-14.27
2023-02-25 18:54:45.225,"Time: 70 ms, ",17.52,-97.88,-12.44
2023-02-25 18:54:45.296,"Time: 71 ms, ",19.15,-99.04,-12.27
2023-02-25 18:54:45.367,"Time: 71 ms, ",19.86,-97.88,-13.38
2023-02-25 18:54:45.437,"Time: 71 ms, ",18.88,-102.56,-11.76
2023-02-25 18:54:45.508,"Time: 70 ms, ",18.91,-97.77,-12.56
2023-02-25 18:54:45.579,"Time: 71 ms, ",18.25,-100.1,-14.03
2023-02-25 18:54:45.649,"Time: 71 ms, ",15.17,-104.48,-9.57
2023-02-25 18:54:45.720,"Time: 70 ms, ",18.01,-97.77,-13.28
2023-02-25 18:54:45.791,"Time: 71 ms, ",17.42,-97.4,-10.3
2023-02-25 18:54:45.862,"Time: 71 ms, ",18.08,-97.06,-12.95
2023-02-25 18:54:45.932,"Time: 71 ms, ",19.08,-100.2,-15.01
2023-02-25 18:54:46.003,"Time: 70 ms, ",17.36,-97.36,-12.54
2023-02-25 18:54:46.074,"Time: 71 ms, ",19.19,-98.51,-11.96
2023-02-25 18:54:46.144,"Time: 71 ms, ",18.12,-101.35,-12.07
2023-02-25 18:54:46.215,"Time: 71 ms, ",17.91,-100.73,-13.93
2023-02-25 18:54:46.286,"Time: 70 ms, ",16.99,-102.29,-17.14
2023-02-25 18:54:46.357,"Time: 71 ms, ",19.82,-97.64,-14.9
2023-02-25 18:54:46.427,"Time: 71 ms, ",21.15,-101.39,-9.39
2023-02-25 18:54:46.498,"Time: 71 ms, ",17.9,-101.44,-11.19
2023-02-25 18:54:46.569,"Time: 70 ms, ",15.17,-101.18,-13.79
